,name,hall_vibe,catering,parking_facility,transport_access,bridal_room,guest_flow,pricing_detail,service_etc,disadvantage,in_guarantee
327,연대동문회관 예식장,무난하고 가까운 분위기,"식대 7만5천원 + 4천원(주류), 예식진행 100만원, 꽃장식 400만원",None,None,None,None,"기부금 50만원 내면 동문할인, 뷔페 10%, 예식진행 70만원, 꽃장식 350만원",식사가 조금 바뀐다고 함,꽃장식이 다른 곳에 비해 적음,250
328,수원 wi컨벤션,None,"69,000원, 맛있다는 평이 많음",경기장으로 주차대수 걱정 없음,None,None,None,"620만원, 평일 운영으로 할인 혜택 있음",None,경기 일정으로 인한 걱정,150
329,송파 문정 루이비스,"호텔 같은 분위기, 샹들리에가 독특하고 생화 향이 좋음","7만8천원, 음식 종류 다양하고 신선함",None,"문정역에서 10분 거리, 셔틀 있음",None,None,"대관료 800만원, 5만7천원으로 저렴함",계약 담당자가 친절하고 다양한 시간대 견적 제공,전철역에서의 거리,250
330,크레스트72,None,"식대 121,000원(뷔페), 132,000원(코스)",None,None,None,None,"대관료 16,500,000원, 할인가 대관료 15,000,000원",커스텀 옵션이 좋음,높은 견적,250
331,라시따시어터,None,"정가 식대 11만원, 할인가 식대 9만3천원",None,None,None,None,"대관료 15,000,000 원, 할인가 대관료 480만원",원판스냅 필수 150만원,"원하는 날짜가 없어 계약하지 않음, 공휴일 다음날만 가능",200
332,광명 아이벡스컨벤션,"어두운 홀에 높은 층고(11m), 호텔 예식 분위기","식대 11만원, 뷔페로 진행, 맛있음",None,"광명역 KTX, 도보 2분 거리","신부대기실은 밝은 느낌, 복도 조감도 예쁨",하객 대기 공간이 야외 정원으로 마련되어 있음,"대관료 1,500만원","친절한 상담, 신상 웨딩홀에 대한 믿음","실물을 보지 못해 아쉬움, 조감도만으로 결정",None
333,원남교당,공간이 크고 웅장한 분위기,"뷔페 인당 80,000원, 식사금액 76,000원으로 할인",None,None,None,None,"대관료 1,950만원, 할인가 1,750만원, 합리적임","하루에 한 팀만 결혼식 진행, 상담 담당자가 친절함",None,250
334,강남 루클라비 더화이트 웨딩홀,밝고 높은 층고의 육각형 홀,정가식대 13만원,"주차 문제 있음, 내년까지 보완 예정",None,"신부 대기실 6m, 로비 7m, 홀 8m로 높은 층고",None,"예산보다 약간 초과, 당일 계약 혜택 있음","신생홀로 피드백을 반영하여 보완 중, 다과상 제공",주차 문제,200
335,수원 리츠호텔,None,"76000원, 할인가 73000원",주차 걱정됨,None,None,None,"대관료 520만원, 할인가 180만원",None,주차 문제,200
336,소피텔,"고급스럽고 우아한 분위기, 넓어 보이는 공간과 높은 천장","식대 15만원, 꽃장식 23만원",주차 넉넉함,"잠실, 주말에 약간의 교통 혼잡",None,하객 동선이 괜찮고 안내가 잘 되어 있음,"약 5000만원대 계약, 아이웨딩 통해 저렴하게 진행","소피텔 담당자 친절, 상담 과정이 편리함",None,200
337,루이비스,None,"74,000원",None,None,None,None,"대관료 530만원, 식대 74,000원",None,None,200
338,더세인트,None,"83,000원",None,None,None,None,"대관료 989만원, 변동 가능성 있음",None,None,300
339,엘타워(ELTower) 그랜드홀,"여성스러운 무드와 웅장한 무드가 공존하는 홀, 높은 층고","정가 식대 14만원, 할인가 식대 11.5만원",주차 편의성이 우수,지하철역과 바로 연결되어 있어 하객 교통 접근성이 뛰어남,None,1층에서 하객 동선이 겹칠 수 있어 복잡함,"정가 총 6천 5백만원, 할인가 총 5천 3백만원","기본 플로럴이 잘 되어 있으나, 꽃장식을 커스텀할 수 없음","하객 동선 겹침, 꽃장식 커스텀 불가",300
340,안성 더AW웨딩컨벤션,"적당히 격 있고 편안한 예식장, 화이트톤 중심의 청순하고 깨끗한 느낌","시식 가능, 하객들이 밥 맛있었다고 언급",동시 800대 주차 가능,None,None,"동선 겹침이 없고, 1층과 4층으로 분리되어 있음","대관 100만원, 스드메 150만원 이벤트 진행 중",로비가 깔끔하고 하객들이 쉴 수 있는 테이블 제공,캐주얼하고 자연스러운 느낌은 아님,None
341,반포 jw메리어트반포(반리엇),"단독홀 구조로 여유로운 동선, 전체적인 플로럴 연출이 매우 완성도 높음","정가 식대 187,000원, 할인가 식대 168,300원, 꽃장식 19,800,000원, 대관료 40,000,000원",백화점과 주차 공간 공유로 혼잡할 수 있음,None,신부대기실과 본식홀의 플로럴 연출이 우수함,동선이 여유롭지만 복잡할 수 있음,"총 8천만원, 대관료 무료",전반적인 서비스 품질 기대 이상,"주차 문제로 혼잡, 하객 동선 복잡",300
342,세인트메리엘,"화려한 꽃장식과 고급스러운 분위기, 층고가 낮고 좁아 답답한 느낌","8.5만원, 음식 평이 괜찮음",None,None,신부대기실 크고 깔끔함,비교적 편리함,"850만원, 다양한 당일계약 혜택 제공","친절한 매니저, 추가 혜택 유연하게 대응","전체적으로 답답하고 좁은 느낌, 개방감 부족",200
343,인천 그레이스파티,"층고가 높고 어두운 홀, 압도적인 분위기, 불빛 조명으로 밝은 느낌도 있음","정가 8.5만원, 할인 견적 7.2만원, 메뉴 구성과 라인업 만족",None,None,"넓고 화장실이 있으며, 히든도어로 신부 입장이 가능",하객 동선이 간결하고 어려움 없음,"정가 800만원, 할인 견적 600만원","서브 신부대기실과 혼주룸 별도 제공, 코스요리 제공",홀 패키지가 없음,250
344,더컨벤션,None,9만원,None,None,None,None,"대관료 940만원, 변동 가능성 있음",None,None,200
345,강동 루벨,None,"식대 82,500원",None,None,None,None,대관료 605만원,None,None,200
346,인덕원 바이더그린,"감각적인 스타일링과 여유로운 분위기, 3층 테라스와 2층 실내 폴딩도어로 다양한 관람 가능","식대 72,000원, 드마리스 브랜드 케이터링 뷔페, 평이 좋음","건물 내 20대 주차 가능, 인근 공영주차장 150대, 셔틀 신청 가능","인덕원역에서 차로 7분 거리, 셔틀 신청 가능",None,"여유로운 동선, 하객들에게 음료 제공","대관료 650만원, 디렉팅 200만원, 꽃장식 450만원, 할인가 70,000원","당일 계약 혜택, 3개월 전 미팅 진행",일반 웨딩홀보다는 넓지 않다고 느껴질 수 있음,100
347,웨딩여율리,None,"72,000원",None,None,None,None,"대관료 350만원, 인원과 견적 변동 가능",None,None,200
348,대전 bmk웨딩홀,"5층 어두운 홀, 로비가 크고 단독홀","패키지+생화 480, 식대 5.5",None,기차역 도보 5분,None,None,"패키지+생화 412, 식대 5.2",None,"내년 여름 리모델링 예정, 조감도 없이 계약",250
349,더링크호텔 베일리홀,"웅장한 공간감, 층고 7m, 화이트+그린 조합의 화려한 꽃 장식","13만원, 음식 맛있음",None,None,넓고 편안한 하늘색 꽃 장식의 신부대기실,None,"2500만원, 비싼 편이나 그만한 가치가 있음","분수 소리, 향기, 연주 등 분위기 좋음","비용이 비쌈, 촬영 시 색감 차이 우려",200
350,의정부 더 마리포사,"고급스러운 호텔식 느낌, 어두운 톤에 조명 포인트, 긴 버진로드",None,None,None,None,프라이빗 예식에 적합,None,단독홀 운영으로 프라이빗한 예식 가능,실제 공간을 보지 못한 점,None
351,서울대 연구공원 웨딩홀,"리뉴얼된 예쁜 홀, 연회장 넓음","식대 65,000원, 뷔페식으로 종류 많고 맛있음",별도 건물 주차장,None,리뉴얼되어 더 예뻐짐,None,"총금액 20,750,000원, 보증 250명",None,예식장 홀이 200석으로 작음,250
352,인천 엘마리노,None,"77,000원",None,None,None,None,"대관료 720만원, 변동 가능성 있음",None,None,200
353,영등포 더컨벤션,None,9만원,None,None,None,None,"대관료 940만원, 식대 9만원",None,None,200
354,강남 그랜드머큐어 임피리얼팰리스,"유럽 궁전 무도회장 같은 압도적인 분위기, 앤티크한 느낌","정가 식대 15만원, 할인가 14.25만원, 괜찮은 코스 구성",준수한 주차 환경이나 안내가 어려움,None,신부대기실 위치가 특이하고 복도가 좁아 드레스 이동 불편,단독 로비 사용으로 하객 동선 간결,"대관료 770만원, 꽃장식 1500만원",식 간격이 6시간으로 여유로움,"주차 안내 어려움, 화장실 노후화, 신부대기실 위치 특이, 개인적 향기 불만족",250
355,지타워컨벤션,None,"79,000원",None,None,None,None,"대관료 700만원, 식대 79,000원",None,None,200
356,강동 루벨,"밝은 분위기, 탁 트인 서울 전경",정가식대 9만원,주차 편리,None,아담한 신부대기실,로비가 어수선하지 않음,대관료 900만원,상담 담당자가 꼼꼼하게 설명,None,270
357,여의도 웨딩여율리,"생화로 장식된 예쁜 홀, 천고는 낮음","대인 95,000원, 소인 45,000원, 음주류 7,000원, 대관료 11,000,000원","옆 빌딩에 추가 주차 가능, 주차 편리","여의도에 위치, 주말에 도로가 한산",None,None,"잔여타임 이벤트로 할인, 가격 메리트 있음",상담이 꼼꼼하고 홀 투어 시 실제 예식 확인 가능,천고가 낮고 기계식 플라워가 아닌 점,200
358,부천 라비에벨,이쁜 홀,"정가 6만원, 할인가 5만9천원",세이브존 건물 주차 혼잡 우려,None,None,None,"대관료 600만원, 200명 기준",상담 실장님 친절,"사진작가에 대한 불안, 주차 혼잡 우려",200
359,부천 라비에벨,아주 넓은 단독홀,"대관료 600만원, 식대 6만5천원",주차공간이 부족함,None,None,바로 뷔페와 연결된 동선,합리적인 가격으로 계약 가능,"기본 서비스와 패키지 포함, 직원 응대 훌륭함","주차공간 부족, 예식 시간 겹침",200
360,안양 더파티움,None,"82,000원",None,None,None,None,"대관료 860만원, 식대 82,000원",None,None,200
361,동촌 노비아갈라,"화려하고 밝은 홀, 샹들리에와 꽃이 잘 어울림","식대 51,000원, 할인 적용",동촌 홈플러스 주차장 포함 500-600대 주차 가능,None,신부대기실 화려함,연회장 넉넉하게 이용 가능,"대관료 50만원, 식대 할인 적용",None,"뷔페 음식에 대한 걱정, 주차 공간 감소",200
362,여의도 더파티움 파티움홀,"밝은 홀, 생화 향기가 느껴지는 쾌적한 분위기","식대 121,000원, 세미뷔페 구성, 음식 맛있음","넓은 주차공간, 주차요원 다수 배치","여의도에 위치, 교통 편리",매우 큰 신부대기실,None,"홀 715만원, 꽃 750만원, 포토 175만원",상담실 깔끔하고 친절한 응대,None,200
363,가양 루이비스,"층고 8m, 꽃이 많은 홀, 생화 8 : 조화 2 비율","식대 88,000원",주차 중요시,None,None,None,"대관료 12,000,000원, 할인가 7만원대, 5백만원대",상담이 어수선하고 위치 변경,공사중인 현장만 보고 계약하는 것에 대한 걱정,200
364,서울웨딩타워,"높은 층고와 고급스러운 분위기, 단독홀","대관료 950만원, 식사가 맛있고 양이 충분함","2000대 주차 가능, 주차 대란 없음",수서역과 가까워 대중교통 편리,None,"동시예식 없음, 덜 복잡함","대관료 950만원, 가격 정보는 운영진에게만 공개","하객 만족도가 높음, 신랑과 하객들이 모두 긍정적인 반응",None,260
365,신도림 더세인트 그랜드볼룸홀,"고급스럽고 넓은 홀, 보라색 꽃 장식, 어두운 홀","식대 13만원, 동시 예식이지만 맛있기로 유명, 특히 국수 존맛","1,700대 수용 가능, 혼주 6시간, 하객 4시간 무료","신도림역(1,2호선) 지하로 연결, 우천 시에도 편리","신부대기실과 홀, 로비가 한 눈에 들어와 동선 좋음",간결함,"대관료 27,150,000원",엘리베이터 고급지고 화장실 깔끔함,"현대백화점 폐점 이슈로 휑한 느낌, 동시 예식으로 인원수 제약 예상",300
366,부천 채림 웨딩홀,"단정하면서도 적당히 화려한 분위기, 버진로드가 길어 입장 연출이 예쁨","정가 6만원, 할인가 5만2천원, 가성비 좋음",철근식 구조로 하객 주차 불편 우려,부천 지역에서 접근성 좋음,None,예식 동선이 깔끔함,"정가 450만원, 할인가 280만원, 가성비 우수","상담 시 친절한 응대, 견적 구성이 명확함","옛날 인테리어 흔적, 연회장 분위기가 일반 식당 느낌",150
367,부천 MJ컨벤션 5층 그랜드볼룸홀,"층고가 높고 탁 트인 느낌, 조명과 무대 연출이 고급스러움","정가 68,000원, 할인가 61,000원, 식사가 맛있다는 후기 많음",주차가 넉넉함,None,혼주 메이크업과 하객 동선이 복잡하지 않음,간결함,"정가 610만원, 할인가 540만원, 전체 예산에 부담 덜어줌",None,인기 있는 곳이라 예약이 어렵고 보증 인원도 낮지 않음,200
368,인천 부평 그레이스파티,"어두운 홀, 화려한 조명과 샹들리에, 깔끔하고 단아한 느낌의 생화 장식","대관료 800만원, 식대 85,000원, 음식 가짓수 많음",None,"부평역 내에 위치, 대중교통 접근 용이",신부 입장 시 층고가 높고 커튼으로 집중도 상승,"단독홀로 하객 혼잡 없음, 넓은 대기 공간",None,매니저의 친절한 안내와 편의 제공,"건물 외관 아쉬움, 혼잡도 우려",200
369,인천 부평 그레이스 파티,"어두운 홀, 화려한 조명, 고급진 화려함",맛있기로 유명함,넉넉한 주차 공간,"부평역사 내 위치, 대중교통 접근 용이",신부 대기실에서 웨딩홀로 바로 입장 가능,"여유로운 단독홀, 하객 동선 걱정 없음",업체 문의,None,None,200
370,공덕 아펠가모,"밝은 채플식 홀, 층고가 높아 답답함 없음","대관료 1000만원, 식대 10만원, 식사 퀄리티 보장",주차 대수가 넉넉함,"4개의 역이 교차하는 역세권, 대중교통 편리",로비가 깔끔하고 일자로 되어 있어 하객 섞일 걱정 없음,간결함,"대관료 600~700만원대, 식대 76,000",주류에 와인 포함,보증 인원 300명에 비해 홀이 작은 편,300
371,서울특별시 송파구 백제고분로 128 BS타워 6층 라브르 에드니아,"천고 12m, 버진로드 28m, 자연채광의 화이트한 컨셉","정가 15만원, 할인가 11만원, 오픈프로모션 500만원 할인","건물 150대 주차 가능, 발렛 서비스 제공",None,None,None,"홀 대관료 2,500만원, 할인가 1,600만원, 합리적임",상담 시 프로페셔널한 설명으로 만족스러운 경험,"조감도와 실물이 다를까 걱정, 주차 불편 우려",300
372,논현 더채플앳 라메르홀,"넓고 고요한 느낌, 천장이 높고 햇살이 잘 들어오는 예쁜 분위기","정가 식대 12만원, 할인가 식대 8.58만원, 음식 가짓수 많고 퀄리티 좋음","발렛파킹 가능, 내부주차 가능",None,None,하객들이 서있을 공간이 많지 않음,"대관료 1200만원, 총견적 약 3000만원으로 괜찮음","플라워샤워와 남성 4중창 제공, 당일계약 5% 할인 혜택","라메르홀에서 퀴퀴한 냄새가 남, 강남 주차 문제",280
373,공덕 아펠가모 라로브홀,"차분하고 클래식한 분위기, 세련된 원목색, 채광이 좋은 홀","정가 10만원, 할인가 7.6만원, 음식 맛있고 주류 무제한","내외부 주차장 이용 가능, 하객 무료주차 2시간","공덕역 도보 1분, 4개 지하철 노선 이용 가능",None,"복잡하지 않음, 하객과의 동선이 섞일 가능성 있음","정가 100만원, 할인가 76만원, 전반적으로 합리적",직원들이 음식을 신경 써서 채워줌,"로비가 넓지 않음, 장의자 불편할 수 있음, 단독 웨딩홀이 아님",250
374,송파 라비니움,None,"식대 83,000원, 대관료 950만원",천호역 공용주차장 이용,천호역 10번 출구 바로 앞,None,웨딩홀 직원이 하객 안내,"식대 83,000원, 대관료 950만원",None,개인 차량 하객의 주차 문제,200
375,부천 소풍컨벤션,"넓고 깨끗한 로비, 리뉴얼된 신부대기실","600만원, 6.5만원 (정가 기준)",주차 공간 부족에 대한 우려,None,리뉴얼된 신부대기실,None,가격 차이가 있어 아쉬움,"친절한 예약 실장님과 직원들, 컴플레인에 대한 개선 노력",주차 문제에 대한 걱정,200
376,신라호텔 다이너스티,고급스럽고 품격 있는 분위기,"20만원대, 샴페인, 와인, 기본무대장식 포함",None,None,None,None,"1.1억, 추가금이 우려됨",지배인님의 따뜻한 안내와 다양한 날짜 제안,"무서운 추가금, 최종 금액에 대한 걱정",300
377,이천 빌라드아모르 웨딩홀,"밝고 교회 분위기, 자연광이 잘 들어오는 홀","식대 53,000원, 당일 계약으로 5만원 할인, 170가지 음식과 디저트 제공",주차장 넓음,None,"넓고 밝은 신부 대기실, 쾌적한 느낌",식장 앞쪽 공간이 좁아 번잡할 수 있음,"대관료 370만원부터 시작, 보증인원 200명",None,버진로드와 하객석 간격이 가까워 긴장될 수 있음,200
378,선정릉>더 라움>체임버홀,"고풍스럽고 웅장한 분위기, 층고 9.5m로 높음","식대 12만 4천원, 코스가 탄탄함","300대 주차 가능, 외부 주차장 있음","선정릉역에서 도보 5분, 언주역과 가까움",None,None,"대관료 3000만원, 식대 할인 없음",상견례 겸 시식 가능,None,300
379,지하철역 근처 웨딩여율리,"작은 편이지만 조명이 예뻐서 사진이 잘 나옴, 생화장식으로 향기가 좋음","대인 95,000원, 소인 45,000원, 음료&주류 7,000원, 와인 7,000원, 기본구성 11,000,000원",주차가 넉넉한 편,지하철역과 가까움,생화장식으로 예쁘고 향기가 좋음,하객이 많을 경우 번잡할 수 있음,잔여타임 임박 할인으로 계약,가족 원판사진을 미리 찍을 수 있는 별도 공간 제공,식 간격이 70분으로 바쁘게 진행될 것 같음,200
380,서울 강남 아르베 웨딩,"밝고 화사한 하우스웨딩 무드, 꽃으로 장식된 공간","정가 식대 89,000원, 대관료 950만원; 할인 식대 85,000원, 대관료 890만원",None,"9호선 언주역과 선정릉역 사이, 더블 역세권",화이트+핑크톤 플라워와 샹들리에로 밝고 화사한 분위기,동선이 매우 편리함,"대관료 950만원, 식대 89,000원; 합리적인 가격으로 보임",혼주에게 VIP룸에서 한상 차림 제공,None,None
381,강서 루이비스,"밝은 홀, 층고가 높아 답답함 없음","8.8만원, 맛있다는 후기가 많음",None,가양역 9번 출구에서 도보 약 1분 거리,신부대기실과 홀 동선이 깔끔함,하객 이동이 편리함,"1200만원, 저렴한 가격에 높은 퀄리티",담당자가 친절하게 안내,조감도라 걱정됨,200
382,여율리,"꽃냄새가 나는 홀, 천장이 낮지만 답답하지 않음","식대 95,000원, 음식이 맛있어 보임",주차가 맘에 듦,적당한 위치,사진찍는 공간이 맘에 듦,None,"대관료 1,100만원",상담 진행이 친절함,노총 건물 안에 위치,200
383,강남 메종드 아나하,"단독홀, 넓은 공간과 개방감, 선큰 보이드로 막힌 느낌 없음","대관료 900만원, 식대 9.3만원, 합리적 가격","신라스테이와 같은 건물 주차, 피크시간에도 주차 공간 부족 없음","역삼역 도보 8분, 파란색 버스 정차, 정기 셔틀 10분 간격","신부대기실 내 화장실, 홀과 독립적으로 바로 연결","혼주 관련 시설, 하객 공간, 식장, 홀 모두 한층에 위치해 간결함",대관료와 식대가 규모와 위치에 비해 합리적,None,"홀 크기가 작아 150명 이상 시 좁아 보일 수 있음, 식간격 90분",200
384,신사 더컨벤션,"어두운 홀, 층고 10m 이상, 좌석 간격 넓음","식대 8.9만원, 대관료 850만원",None,차량 이동 외 접근성 낮음,None,"200명 수용 가능, 간격 넓음","대관료 850만원, 보증인원 내 답례품 포함",혼주분들의 부담을 줄여주려는 배려,하부 공실로 웰커밍한 분위기 떨어짐,250
385,안양 더파티움,"어두운 편의 홀, 중앙 집중 구조로 신랑신부에게 시선이 향함","95,000원, 음식 만족도가 높음","본건물 주차장 외에 이마트 평촌점, 하이파킹, 네온테크 등 총 네 곳 이용 가능","평촌역 바로 앞, 접근성 좋음","화사하고 밝은 느낌, 넓은 공간과 테라스 공간 제공",간결함,"대관료 16,000,000원, 가격에 대한 언급 없음","당일 계약 시 예쁜 꽃 선물 제공, 혼주 메이크업 후기 좋음",None,200
386,부천 라비에벨 웨딩,"넓고 층고가 높은 단독홀, 답답하지 않고 확 트인 분위기","72,000원, 뷔페 음식 다양함",None,None,"신랑, 신부 입장하는 곳이 다름",이동 동선이 편리함,"890만원, 합리적인 가격","친절한 상담, 매끄러운 진행",세이브존 건물 외관 및 엘리베이터 혼잡 가능성,200
387,라뷔포레,None,"75,000원",None,None,None,None,"대관료 380만원, 변동 가능성 있음",None,None,200
388,문래 규수당,"단독홀, 화이트/핑크 정석 느낌, 동선이 매우 좋음","6.5만원, 정가 580만원, 할인가 5.5만원, 320만원",None,문래역 도보 5-7분 거리,신부대기실과 연회장이 한 층에 있어 편리함,동선이 매우 좋음,"가성비 좋은 베뉴, 잔여타임으로 가격이 저렴함","상담예약이 힘든 곳, 당일계약 강요 없음","잔여타임으로 인해 컨시어지, 플라워샤워, 포토부스 이용 불가",100명부터 원하는 만큼 설정 가능
389,파티움하우스,None,"59,000원",None,None,None,None,"대관료 320만원, 변동 가능성 있음",None,None,200
390,수원 라 뷔포레 (구 호텔리츠),"웨딩홀 전체를 식장으로 쓰는 느낌, 혼잡하지 않음","76,000원, 음식이 깨끗하고 관리가 잘됨",None,None,None,인사하러 다닐 때 다른 하객이 없을 것 같음,760만원,"직원들이 친절하고 전문적임, 체계적인 서비스 제공","예약이 어려움, 전화로 피켓팅해야 함",200
391,인천 엘마리노,None,"대관료 1200만원, 식대 9만원",None,None,None,None,"대관료 1200만원, 식대 9만원",매니저님의 자신감과 조감도에 대한 긍정적인 평가,직접 보지 못한 아쉬움,None
392,더루체웨딩홀,층고가 높고 따뜻한 노랑-우드 느낌,"6만 8천원, 대관료 580만원",None,None,홀과 신부대기실이 같은 층에 위치,동선이 편리함,"6만/410만원, 합리적인 가격",None,"유명한 베뉴가 아니라 후기가 적음, 홀 분위기가 원하는 화이트/그린이 아님",200
393,삼성 노블발렌티,None,9만원,None,None,None,None,"대관료 970만원, 식대 9만원",None,None,200
394,강서 라로브홀,"깔끔하고 화려하지 않은 적당한 크기, 사진이 잘 나오는 홀",홈페이지 정찰제,주차장이랑 바로 연결됨,지하철역에서 위치 찾기가 헷갈림,혼주 메이크업실이 있어 부모님들이 편리하게 준비 가능,식사 후 엘레베이터 이동없이 바로 주차장으로 연결됨,홈페이지 정찰제,None,"뚜벅이로 올 때 위치 찾기 어려움, 주말 상권과 겹칠 수 있음",200
395,서울 신림 그레이스파티,"고급스럽고 넓은 홀, 높은 층고, 여유로운 분위기","대관료 955만원, 식대 8만원, 해산물 신선하고 다양한 메뉴",자체 주차장 있음,"대중교통 이용 시 셔틀버스 5분 소요, 버스 자주 운행",넓고 꽃향기가 가득한 신부대기실,동선 편리하고 로비 넓음,"대관료 750만원, 식대 7.8만원",None,대중교통 이용 시 셔틀 이용 번거로움,None
396,강남 베스트웨스턴프리미어,"올드한 느낌이 있는 공간, 야외 웨딩 느낌 가능","대관료 4,500,000원, 식대 72,000원~ (뷔페)","기계식 주차, 다소 아쉬움","언주역과 신논현역 사이, 접근성 좋음",None,"100명 이하일 경우 좋음, 150명 초과 시 북적일 것 같음","현장 계약 할인으로 대관료 4,500,000원, 합리적","직원 친절, 당일 안내 잘 될 것 같음","올드한 느낌, 인조 잔디, 뒤 건물 아쉬움",100
397,더 라움 – 마제스틱볼룸,"넓고 탁 트인 공간감, 단독 예식으로 하객들이 번잡하게 섞이지 않음","식대 12만 4천원, 코스로 식사 가능",내부 300대 + 외부 주차 가능,None,None,간결함,"대관료 3000만원, 성수기와 비성수기 가격 차이 없음",None,할인 더 받으면 좋겠음,300
398,cn웨딩홀 계산,None,6.5만원,None,None,None,None,"대관료 500만원, 식대 6.5만원",None,None,200
399,삼성 노블발렌티,"고급스러운 외관과 프라이빗한 하우스웨딩 느낌, 밝은 채플홀, 천고 10m","10만원, 코스요리로 대접받는 느낌","100대 주차 가능, 만차 시 제2주차장 이용 가능","봉은사역 도보 5분, 9호선 급행 접근성 좋음",None,2층과 3층으로 구분되어 혼잡하지 않음,"대관료 1,300만원, 합리적인 가격","상담 친절, 계약 후 고급스러운 분위기에 반함","제2주차장 이용 시 불편할 수 있음, 코스요리에 호불호가 갈릴 수 있음",250
400,더링크,"화사하고 고급스러운 분위기, 에스컬레이터로 접근 가능","정가 식대 13만원, 할인가 10.5만원",None,None,신부대기실이 가장 예뻤음,식사 공간이 작고 복작거림,대관료 850만원,친절한 상담과 자세한 설명,식사 공간이 작고 정신없어 보임,200
401,삼성 노블발렌티,None,"93,000원",None,None,None,None,"대관료 1,030만원, 인원과 견적 변동 가능성 있음",None,None,300
402,천안티웨딩홀,"단층 구조로 편리한 동선, 3개의 아름다운 홀","정가 식대 68,000원, 할인가 56,000원, 음식 맛과 다양성 좋음",넓은 주차장,"천안목천IC 인근, 대중교통 불편 (셔틀은 천안터미널, 천안역만 운행)",신부대기실 화장실 없음,하객 몰림 우려,"대관료 2,000,000원, 합리적인 가격",None,"피크시간 하객 몰림, 대중교통 불편, 신부대기실 화장실 없음",150
403,논현 더채플앳 라메르홀,"아늑한 느낌의 천장 구조물, 따뜻한 대리석과 우드톤 로비",12만원,"주차 혼잡 예상, 발렛 서비스 필요할 수 있음",지하철 역에서 도보 5~7분 이내,None,하객 동선이 혼잡하지 않을 것 같음,"대관료 1,200만원, 웨딩페어 기간 추가 할인",송 매니저님이 친절하고 꼼꼼하게 설명,강남 지역 주차 혼잡 우려,250
404,임피리얼 팰리스 그랜드 머큐어,"앤틱한 인테리어와 여유로운 로비, 차분한 분위기","정가식대 150,000원, 할인가식대 142,500원",None,None,None,여유로운 예식간격,"대관료 35,200,000원, 할인가 7,700,000원, 기본 장식 15,000,000원",크리스마스 장식이 매력적,후기가 적고 인테리어 호불호가 있음,250
405,CN계산,"전체적으로 밝고 화사한 분위기, 깨끗하고 은은한 조명","뷔페, 맛있다는 후기가 많음","800대 주차 가능, 피크 타임 혼잡 가능성 있음",None,"넓고 예쁜 신부대기실, 동선 편리",하객 동선이 잘 설계되어 있어 편리함,"대관료 880만원, 합리적인 가격으로 보임",None,"연회장이 지하 1층으로 엘리베이터 혼잡 우려, 주차비 무료는 2시간까지",250
406,삼성 노블발렌티,"높은 천고와 개방감 있는 단독홀, 여유로운 공간","식대 10만원, 코스요리 방식",None,"강남권, 1층과 5층 모두 여유 있는 공간",넓고 개방적인 신부대기실,동선이 단순하고 하객 이동이 편리함,대관료 1300만원,120분 단독홀 운영으로 촬영 동선 매끄러움,코스요리의 빠른 템포에 대한 우려,300
407,성동구 H스퀘어 웨딩홀(한양대 동문회관),"깔끔하고 단아한 분위기, 채플 형식의 예식장, 조명 조절 가능","식대 68,000원, 갈비탕 메뉴로 하객 만족도 높음",None,"한양대역 도보 5분, 왕십리역 도보 10분","6층과 7층에 신부대기실, 7층이 더 크고 화려함",단독홀로 하객 동선 간결,"대관료 750만원, 동문혜택으로 할인된 450만원","동문혜택으로 식대 할인, 무료 DVD 서비스, 포토테이블 등 제공",11월 성수기로 보증인원 조정 불가,250
408,여의도 조선팰리스,"깔끔한 동선과 높은 층고, 아름다운 홀 분위기","정가 20만원, 할인가 18만원",None,전용 엘리베이터로 원웨이 동선,신부대기실과 홀 간의 동선이 깔끔함,복잡하지 않음,"대관료 660만원, 할인가 440만원, 추가금 옵션 있음",웰컴드링크 무상제공,추가금 옵션에 대한 방어 필요,200
409,삼성 노블발렌티,None,"85,000원",None,None,None,None,"대관료 890만원, 변동 가능성 있음",None,None,200
410,드레스가든,None,"1인 식대 12만원, 식사 양이 작다는 후기가 많음",None,None,None,None,"총 5,368만원, 대관료 1,600만원",소인 식대가 따로 없음,식사 양이 너무 작음,200
411,선릉 아펠가모,"경건한 느낌의 채플식 홀, 층고 높음, 생화 장식","대관료 1,000만원, 식대 10만원, 밥펠가모로 유명, 다양한 음식 구성","350대 주차 가능, 혼주차량 6대, 웨딩카 주차 가능",선릉역 4번 출구에서 도보 5분,"생화 장식, 별도의 신부 화장실",단독홀로 하객 섞임 없음,"대관료 770만원, 식대 83,600원, 투명한 가격 시스템",전문 사회자와 4중창 포함,"화환 반입 불가, 리본만 가능",250
